name,category,pdf_file,Thickness,Thickness (unit),Gurley (JIS),Gurley (JIS) (unit),Porosity (Calculated),Porosity (Calculated) (unit),TD Shrinkage @ 105°C / 1 Hour (typical),TD Shrinkage @ 105°C / 1 Hour (typical) (unit),MD Shrinkage @ 105°C / 1 Hour (typical / max),MD Shrinkage @ 105°C / 1 Hour (typical / max) (unit),TD Tensile Strength (typical / min),TD Tensile Strength (typical / min) (unit),MD Tensile Strength (typical / min),MD Tensile Strength (typical / min) (unit),Puncture Strength (typical / min),Puncture Strength (typical / min) (unit),TD1 Shrinkage @ 105°C / 1 Hour (typical),TD1 Shrinkage @ 105°C / 1 Hour (typical) (unit),MD2 Shrinkage @ 105°C / 1 Hour (typical),MD2 Shrinkage @ 105°C / 1 Hour (typical) (unit),TD Tensile Strength (typical),TD Tensile Strength (typical) (unit),MD Tensile Strength (typical),MD Tensile Strength (typical) (unit),Porosity (calculated),Porosity (calculated) (unit),Moisture Level (max),Moisture Level (max) (unit),MD Shrinkage @ 120º C / 1 Hour (typical / max),MD Shrinkage @ 120º C / 1 Hour (typical / max) (unit),TD Shrinkage @ 120º C / 1 Hour (typical / max),TD Shrinkage @ 120º C / 1 Hour (typical / max) (unit),Wettability (max- internal method),Wettability (max- internal method) (unit),MD Shrinkage @ 105°C / 1 Hour (typical / max)³,MD Shrinkage @ 105°C / 1 Hour (typical / max)³ (unit),Total Film Thickness,Total Film Thickness (unit),Total Film Gurley (ASTM),Total Film Gurley (ASTM) (unit),TD Shrinkage @ 90°C / 1 Hour (typical),TD Shrinkage @ 90°C / 1 Hour (typical) (unit),MD Shrinkage @ 90°C / 1 Hour (typical / max),MD Shrinkage @ 90°C / 1 Hour (typical / max) (unit),Coated Thickness,Coated Thickness (unit),Gurley (ASTM),Gurley (ASTM) (unit),Shrinkage @ 90°C / 1 Hour (typical),Shrinkage @ 90°C / 1 Hour (typical) (unit),Coat Wet Out (max – internal method),Coat Wet Out (max – internal method) (unit),Coated Thickness (max),Coated Thickness (max) (unit)
Celgard® 2400,Monolayer PP,2400_com_data_2026-01.pdf,25,μm,620,Seconds,41,%,0,%,2.3 / 5.0,%,140 / 70,Kg/cm2,1420 / 700,Kg/cm2,450 / 340,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® 2500,Monolayer PP,2500_com_data_2026-01.pdf,25,μm,200,Seconds,55,%,0,%,1.1 / 5.0,%,130 / 80,Kg/cm2,1170 / 770,Kg/cm2,325 / 200,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® PP1410,Monolayer PP,pp1410_com_data_2026-01.pdf,14,μm,185,Seconds,43,%,0,%,0.5 / 2.3,%,150 / 100,Kg/cm2,1800 / 1000,Kg/cm2,290 / 200,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® PP1611,Monolayer PP,pp1611_com_data_2026-01.pdf,16,μm,215,Seconds,49,%,0,%,1.0 / 2.2,%,125 / 110,Kg/cm2,1680 / 1560,Kg/cm2,280 / 200,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® PP2068,Monolayer PP,pp2068_com_data_2026-01.pdf,20,μm,185,Seconds,55,%,0,%,2.4 / 5.0,%,115 / 90,Kg/cm2,1550 / 1400,Kg/cm2,330 / 200,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® PP2075,Monolayer PP,pp2075_com_data_2026-01.pdf,20,μm,300,Seconds,48,%,0,%,1.0 / 3.5,%,152 / 100,Kg/cm2,1990 / 1700,Kg/cm2,420 / 370,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® Z1831,Monolayer PP,z1831_com_data_2026-03.pdf,18,μm,20,Seconds,77,%,,,,,,,,,,,≤ 12,%,≤ 12,%,200,Kg/cm2,500,Kg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® 2318,Trilayer PP/PE/PP,2318_com_data_2026-01.pdf,18,μm,520,Seconds,39,%,0,%,2.0 / 8.0,%,130 / 100,Kg/cm2,2250 / 1500,Kg/cm2,430 / 340,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® 2320,Trilayer PP/PE/PP,2320_com_data_2026-01.pdf,20,μm,530,Seconds,39,%,0,%,1.5 / 5.0,%,156 / 115,Kg/cm2,2040 / 1500,Kg/cm2,400 / 360,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® 2325,Trilayer PP/PE/PP,2325_com_data_2026-01.pdf,25,μm,645,Seconds,39,%,0,%,3.0 / 5.0,%,150 / 80,Kg/cm2,1900 / 1000,Kg/cm2,450 / 380,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® 2340,Trilayer PP/PE/PP,2340_com_data_2026-01.pdf,39,μm,780,Seconds,44,%,0,%,3.5 / 8.0,%,165 / 100,Kg/cm2,1630 / 1400,Kg/cm2,700 / 550,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celgard® H1409,Trilayer PP/PE/PP,h1409_com_data_2026-01.pdf,14,μm,210,Seconds,45,%,0,%,1.7 / 6.0,%,160 / 100,Kg/cm2,2250 / 1100,Kg/cm2,330 / 240,Grams Force (gf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
