Kind,Materials,Preparation Method,Thickness (μm),Tensile Strength (Mpa),Thermal Stability (°C),Electrolyte Absorption (%),Porosity (%),Ionic Conductivity (mS⋅cm−1),Cost(¥),Cyclic Performance (%),Ref.
Physically modified cellulose,MFC,Papermaking process,35,61,150,93,46,0.4,140,50 cycles 99.5,[70]
,SWP@PET@MFC,Papermaking process,51.3,/,200,348.6,/,0.77,269,200 cycles 80.2,[71]
,MCC/PLA/PBS,Phase separation method,30,3–6,135,138,/,2.06,525,/,[72]
,CNF/PET,Papermaking process,30,3,257,250,70,/,220,100 cycles 91.7,[73]
,TBA-FD,Vacuum filtration method,/,13,160,296,70.8,1.90,120,100 cycles 96.4,[74]
,HAP/CNF,Vacuum filtration method,28,9.94,250,162,76,0.81,160,100 cycles 67.1,[75]
,MCNC,Phase separation method,150,/,/,275,75.3,2.7,235,50 cycles 99.8,[76]
,BCNCs/PEBAX,Phase separation method,/,14.9,/,101.4,56.8,9.79,260,/,[77]
,BC/PBS,Suction filtration method,60,3,285,216,62.7,1.55,430,100 cycles 92,[78]
,BLA,Casting method,85,12.9,210,446,70,2.45,315,100 cycles 97,[79]
Chemically modified cellulose,CA/PAN/HAP,Electrospinning,46,11.18,270,281,61,3.02,330,50 cycles 99.48,[80]
,CPT20,UV-induced polymerization,15,/,230,190,/,4.17,430,100 cycles 98.2,[81]
,CA55,Phase separation,/,/,250,331,62,0.0307,240,/,[82]
,HDPE/MC,Coating method,/,3.5,130,130,68,1.01,250,50 cycles 96,[83]
,CMC,Microwave method,/,11.02,202,/,/,0.12,180,/,[84]
,Al2O3 CCSs,/,26,/,130,125.5,/,0.982,190,200 cycles 96.5,[85]
,PP/EC/PE/PP,Coating method,28,/,300,/,/,0.13,325,100 cycles 99,[86]
,PVDF/HEC/PVDF,Coating method,58,21.5,290,135.4,/,0.88,240,145 cycles 100,[87]
Polyolefin,PE,Coating method,24,102.24,135,186.7,65.64,0.206,62,450 cycles 72,[28]
,PP,Coating method,25,13.24,90,/,55,/,62,/,[88]
,PE,Coating method,12,82,140,123,42,0.12,50,200 cycles 78.4,[89]
,PP Celgard 2400,Coating method,25,/,170,91,/,/,62,100 cycles 75,[90]
,PE,Coating method,24.8,94.3,140,119,43.5,0.212,65,200 cycles 83.1,[91]
,PP,Coating method,25,127,140,88,44,0.108,62,60 cycles 66,[92]
Synthetics,PVDF/PET,Coating method,22,18,160,72,26.3,0.003,110,/,[93]
,PET,Coating method,22,36.1,255,89,/,1.34,120,300 cycles 43.5,[94]
,PVDF/HFP,Electrospinning,58,2.74,200,350,92,2.05,230,500 cycles 84.5,[95]
,PVDF/PU,Phase separation,27,7.83,140,201.8,66.3,1.34,240,60 cycles 74,[96]
,PVDF/EVA,Coating method,25,70,200,/,/,0.9,210,100 cycles 98.4,[97]
