Preparation Method,Cellulose and Its Derivatives,Thickness(um),Thermal Stability(°C),Tensile Strength (MPa),Ionic Conductivity (mS cm−1),Porosity(%),Cyclic Performance (%),Electrolyte Absorption (%),Ref.
Papermaking method,CMC,67,300,27.7,/,75,150 cycles 95.6,286,[166]
,BC/ATP,/,350,27.09,1.75,59.17,300 cycles 94.5,470,[211]
,CF/ANF,40,200,33,0.75,49.5,100 cycles 89.6,157,[212]
Coating method,PVDF/EC,/,347,73,0.79,/,200 cycles 95.7,/,[34]
,GF/CNF,30,/,/,1.7,66,200 cycles 80,/,[213]
Casting method,BCNC/ PEBAX,/,150,14.9,9.79,56.8,/,101.4,[77]
Vacuum filtration method,ECM,12,290,/,0.35,53,100 cycles 78.6,281,[214]
,BC/CS,57.4,260,9.9,2.9,65.8,100 cycles 90,358,[215]
,ZIF-8/BC,/,325,50.1,1.12,73.2,100 cycles 89.2,340.5,[216]
,CFs/PPS-1/1,/,200,20.52,1.26,61.1,100 cycles 90.3,259.6,[182]
Electrospinning,PVDF/CA,30,450,7.6,1.36,86.5,50 cycles 91.8,311,[217]
,PVDF/TPP/CA,/,170,8.5,4.4,90,100 cycles 86.9,301,[218]
,PVDF/HFP/CA,/,200,34.1,6.16,66,100 cycles 75.4,355,[219]
Phase separation method,PVA/CNF,25,275,18,1.1,60,50 cycles 93,230,[220]
,PVDF/CNF/CEC,50,170,14.3,1.26,60.2,50 cycles 98.96,370,[221]
,RCS,19.74,260,/,1.25,61,100 cycles 81,436,[196]
Aerogel method,CNF/AG,160,150,/,2.64,99.5,200 cycles 41,"12,000",[200]
,ANFs,/,300,/,1.04,92.6,200 cycles 70,695,[222]
,BN/BC,100,300,0.2,/,/,500 cycles 94,/,[201]
