Electrospinning Solution,Thickness/μm,Diameter/nm,Porosity/%,Electrolyte Uptake/%,IonicConductivity/(mS cm−1),TensileStrength/MPa,Thermal Stability,Ref.
PVDF-HFP,-,150–250,80,340,1.29,6.5,,[122]
PVDF-HFP/PMIA,-,66.75,93.75,913,1.20,16.31,Shrinkage rate less than PE at 240 °C for 2 h,[101]
PAN@PVDF-HFP,-,-,-,-,1.20,45.8,No significant shrinkage at 160 °C,[123]
PVDF/PDA-CE,80,140,73 ± 2,438 ± 29,2.77,10.48,No significant shrinkage at 160 °C for 1 h,[124]
PVDF-HFP@PI,22,-,80,800,1.79,13.3,No significant shrinkage at 140 °C for 0.5 h,[77]
PVDF/IL[Emim][TFSI],-,180,72,356,2.88,>1,Thermal decomposition temperature is 458 °C,[125]
P(VDF-TrFE/PEO/LIGC,-,910,86,>440,7.04,6.1,-,[15]
PVDF/MMT,58,214,84.08,333,4.2,2.39,Shrinkage rate is 14.6% at 150 °C for 1 h,[109]
SiO2/PVDF-HFP,45,130–450,89.7,483,-,5,No significant shrinkage at 200 °C for 0.3 h,[126]
Sb2O3/PVDF-CTFE,42,300–400,72,356,2.88,13.5,No significant shrinkage at 160 °C for 2 h,[127]
MMT/PVDF-HFP-PMIA,-,277.2,90.21,1027,2.41,25.59,No significant shrinkage at 220 °C,[117]
