Separator,Process,Drying Temperature(°C),Casting Method (Mass Ratio),Thickness (μm),Porosity (%),Electrolyte Uptake (%),Ionic Conductivity (mS⋅cm−1),Reference Number
PPS/SiO2,Particle leaching,,,50,High,,,[96]
PPS1-81,TIPS,50 (12 h),,29,73.5,409,1.69,[97]
PPS2-81,TIPS,50 (12 h),,28,69.7,384,1.61,[97]
PPSC,melt-blown spinning,50 (24 h),SiO2:PVDF-HFP:acetone:DMF = 3:5:45:5,114,57.3,230.1,1.02,[98]
CLN/PPS,melt-blown spinning,60 (8 h),PEI:PVDF-HFP:acetone:DMF = 1:15:120:30,95,65,197,0.52,[99]
CS@4,melt-blown spinning,60 (12 h),PAMPAM:PVDF-HFP: acetone:DMF = 1:10:60:40,51,85,236,0.92,[100]
3D-30:1,melt-blown spinning,60 (12 h),PVDF-HFP:DMF = 1:10+ silica-based fluid:methanol = 0.33:2,63,72.1,153.6,0.51,[101]
3D-10:1,melt-blown spinning,60 (12 h),PVDF-HFP:DMF = 1:10+ silica-based fluid:methanol = 0.1:2,66,78.6,202.5,0.92,[101]
3D-10:3,melt-blown spinning,60 (12 h),PVDF-HFP:DMF = 1:10+ silica-based fluid:methanol = 0.3:2,70,68.4,172.9,0.65,[101]
ANFs/PPS,melt-blown spinning,60 (24 h),PPS:ANFs = 100:15,50,65.9,240.7,1.43,[102]
CFs/PPS,melt-blown spinning,80 (24 h),PPS:CFs = 1:1,,61.1,259.6,1.26,[103]
PPS-mGNFs,sea-island spinning,100 (8 h),PPS: mGNFs = 100:20,34,65.9,253,1.43,[104]
PPS-CSSS,dry-film forming process,100 (12 h),Crystalline PPS: fibrillated PTFE = 94:6,30,6%,10%,0.3,[39]
PPS-SSS,dry-film forming process,100 (12 h),Crystalline PPS: fibrillated PTFE = 94:6,18,3%,5%,0.2,[105]
