Materials,Electrolyte Solution,Porosity and Uptake (%),Conductivity (S·cm−1) and Capacity (mAh·g−1),Main Goal/Achievement,Ref
PVDF (plasma-treated),1 M LiPF6 in EC/DMC (1:1),-/1200,-/-,Study of the effect of plasma treatment in PVDF separators;Improved electrolyte uptake and mechanical properties.,[48]
PE/PVDF,"1 M LiPF6 in EC:EMC:DEC (1:1:1, w:w:w)",-/-,0.89 × 10−3 (25 °C)/-,Investigation into the pore formation process in a coating layer for separators;Enhanced ionic conductivity.,[49]
PE/PVDF,"1.10 M LiPF6 in EC/PC/EP (3:1:6, v:v:v)",-/-,-/1436 (0.2C),Study of the electrochemical performance of PE/PVDF separators;Enhanced cycling performance.,[50]
PVDF/PP,1 M LiPF6 in EC/DMC (1:1),58/140,5.9 × 10−4/145 (0.5C),Coating of PVDF particles in the surface of a PP membrane;Increased electrolyte uptake.,[51]
PET/PVDF,"1 M LiPF6 in EC/DEC/DMC (1:1:1, w/w/w)",-/-,8.36 × 10−3/-,Investigation of the performance of a hot-pressed PET/PVDF separator;Excellent mechanical behavior.,[52]
PVDF/HEC,1 M LiPF6 in EC/DMC/EMC (1:1:1),-/135.4,8.8 × 10−4 (25 °C)/140,Preparation of a PVDF/HEC/PVDF membrane with a sandwich structure;High electrolyte uptake and ionic conductivity.,[53]
PVDF/PMMA,1 M LiTFSI in DME/DOL (1:1),-/294,1.95 × 10−3 (25 °C)/1711.8,Preparation of a sandwiched GPE based on PVDF and PMMA for lithium-sulfur batteries;High discharge capacity and cycle stability.,[54]
PDA/PVDF,"1 M LiPF6 in EC:DEC (1:1, wt:wt)",-/1160,9.62 × 10−4/104.5 (0.5C),Prove that the PDA coating can be promising for manufacturing electrospun nanofiber separators;Better cycling performance and elevated power capability.,[31]
PE/(PVDF/Al2O3),1 M LiPF6 in EC/DEC (1:1),"60.3/125, 314",1.14-1.23 × 10−3/-,Development of a multilayer coating for separators;Improvement of thermal stability and electrolyte wetting.,[55]
PI/PVDF/PI,1 M LiPF6 in EC/DEC/DMC (1:1:1),83/476,3.46 × 10−3/114.8 (0.5C),"Production of an electrospun sandwich-type separator;Superior porosity, electrolyte uptake, and ionic conductivity.",[56]
PVDF-HFP,1 M NaClO4 in EC/PC (1:1),-/-,3.8 × 10−3/291.1 (0.2C),Development of a PVDF-HFP-coated GF separator for sodium ion batteries;Good cycling performance.,[57]
PVDF-HFP,1 M LiPF6 in DMC/EMC/EC (1:1:1),53.5/106.9,8.34 × 10−4/131.33 (5C),Study of the effect of the drying temperature on the performance of the separator.,[58]
PP/(PVDF-HFP/SiO2),"1 M LiPF6 in DEC/EC (1:1, v/v)",-/-,7.2 × 10−4/-,Analysis on the effect of a PVDF-HFP/SiO2 coating layer for PP separators;Better electrolyte uptake and ionic conductivity.,[59]
PMMA/PVDF-HFP,1 M LiPF6 in EC:DMC (1:1),-/342,1.31 × 10−3/143 (0.2C),Investigation and analysis of a produced PMMA/PVDF-HFP electrolyte membrane;Exceptional thermal and electrochemical stability.,[60]
PVDF-HFP/PDA,LiPF6 in EC/DEC/DMC (1:1:1),72.8/254,1.40 × 10−3 (20 °C)/-,Production of a PVDF-HFP/PDA separator by a dip-coating method.,[12]
PVDF-HFP/PET,1 M LiClO4 in DMSO,-/282,6.39 × 10−3 (25 °C)/158 (0.1C),"Combination of PVDF-HFP with a SiO2 nanoparticle-modified PET matrix;Improved thermal stability, electrolyte uptake, and ionic conductivity.",[61]
PP/(AlO2/PVDF-HFP),"1 M LiPF6 in EC/DEC (1:1, v/v)",-/-,7.95 × 10−4/98.6 (0.2C),Inspection of the performance of a separator for PP membrane coating;Improved thermal stability.,[62]
γ-Al2O3/PVDF-HFP/TTT,1 M LiClO4 in EC/DEC (1:1),-/157,1.3 × 10−3/~100 (0.5C),Dip coating of a PE separator with γ-Al2O3/PVDF-HFP/TTT;Increased electrolyte uptake and ionic conductivity.,[13]
PP/PE/PP/PVDF-co-CTFE,"1 M LiPF6 in EC/DMC/DEC (1:1:1, v:v:v)",-/-,-/-,Fabrication of PVDF-co-CTFE nanofiber coatings for improving the performance of polyolefin separators;High electrolyte uptake and good wettability.,[63]
