Materials,Fillers,Electrolyte Solution,Porosity and Uptake (%),Conductivity (S·cm−1) and Capacity (mAh·g−1),Main Goal/Achievement,Ref.
PVDF,Al2O3,1 M LiPF6 in EC/DEC/DMC (1:1:1),55.8/153.5,2.23 × 10−3 (25 °C)/114.2,"Production of a composite PVDF/Al2O3;High thermal stability and ionic conductivity, low discharge capacity decay.",[15]
PVDF,Al2O3,EC/DMC (1:1),-/230,1.24 × 10−3/151.97 (C),"Core-shellcomposite nonwoven separator of PVDF-HFP@Al2O3; high heat resistance up to 200 °Cwithout any shrinkage,",[65]
PVDF,Al2O3,"1 M LiPF6 in EC/DEC (1:1, v:v)",67/230,1.49 × 10−3/146.3 (0.2C),Separator-cathode assembly with PVDF/Al2O3;Good electrochemical performance.,[66]
PVDF,AlO(OH) nanoparticles,1 M LiPF6 in EC/DEC (3:7),-/65,-/-,Ceramic separator based on boehmite nanoparticles;Improved safety and wettability.,[67]
PVDF,BC,1 M LiTFSI in EC/DEC (1:1),-/-,4.2×10−3 (30 °C)/-,Preparation of GPEs based on cross-linkers;High ionic conductivity and thermal stability.,[68]
PVDF,Carbon,1 M LiTFSI and 0.1 M LiNO3 in DOL/DME (1:1),-/-,-/827 (0.5C),PVDF-C separator by phase inversion technique;Superior rate performance and stability.,[69]
PVDF,CNF,1 M LiTFSI in DOL/DME (1:1),-/119,-/1739.2 (C),Production of CNF/PVDF separators for Li-S batteriesGreat battery discharge capacity and cycling stability.,[20]
PVDF,Cellulose acetate/Al(OH)3,1 M LiPF6 in EC/DMC/EMC (1:1:1),68.6/403.9,2.85 × 10−3/151.97 (C),"Environmental friendly materials in a separator;High electrolyte uptake, ionic conductivity and cycling performance.",[70]
PVDF,DNA-CTMA,LiAsF6 in EC/EMC/DMC,-/-,-/-,PVDF/DNA-CTMA membrane as a solid polymer/gel electrolyte separator;Improved thermal and mechanical properties.,[71]
PVDF,LiPVAOB,"1 M LiPF6 in EC/DMC/EMCC (1:1:1, w:w:w)",-/88.5,2.6 × 10−4/120 (0.2C),Composite gel polymer electrolyte PVDF/LiPVAOB membrane;Good ionic conductivity.,[33]
PVDF,Nanoclays/PVP,1 M LiPF6 in EC/DMC (1:1),87.4/553.3,-/-,Study of the influence of solvents in the separatorHigh porosity and uptake.,[72]
